Comment,Designator,Footprint,LCSC Part #
,PM,LED_3MM_ALT,
,HOURS,LED_5MM_BLUE,
,PLUS,LED_5MM_GREEN,
,MINUS,LED_5MM_RED,
,MINUTES,LED_5MM_YELLOW,
1N5819,D1,SOD123,
1u,C9,CAPACITOR0603,
2X3POGONO_VIA,SWD,2X3_POGO_NO_VIA,
2k,R9,RESISTOR0603,
4k7,R5 R6,RESISTOR0603,
5k1,R1 R2 R12,RESISTOR0603,
10k,R3 R4 R7 R8 R10 R11 R13 R14,RESISTOR0603,
10u,C1 C2 C3 C4,CAPACITOR0805,
100n,C5 C6 C7 C8 C10 C11,CAPACITOR0603,
500mA,F1,PTC0805,
ATSAMD21E18A-MU,U1,QFN50P500X500X100-33N,
BC817S,Q2 Q3,SOT23,
DS3231MZ+,U2,SO8,
EVQ-P7J01P,SW2,EVQ-P7J01P,
KSC321JLFS,SW1,KSC3XXJ,
LED_RECT-3.2X2,DOWN LEFT RIGHT UP,LED_RECT_3.2X2,
LED_SMT_1206,LD1 LD2 LD3 LD4 LD5 LD6 LD7 LD8 LD9 LD10 LD11 LD12,LED_1206,
LGE2305,Q1,SOT23,
MCP73832T-2ACI/OT,U7,SOT23-5,
MIC5504YM5-TR,U6,SOT23-5,
TEMT6200FX01,Q4,TEMT6200FX01,
TEST_PIN_LARGE,B+ B-,TEST_PIN_2.0,
TLC5916IPW,U3 U4 U5,TSSOP16,
USB-C_2.0_SMT,J1,USB-C_FULL_SMT,
